UIK,voters,voted mobile,voted stationary,Turnout,Video
485,1261,13,394,0.322759714512292,1
486,1077,8,302,0.287836583101207,0
487,1003,6,295,0.300099700897308,1
488,1361,22,375,0.291697281410727,1
489,2395,16,720,0.307306889352818,1
490,1729,17,478,0.286292654713707,1
491,1173,2,329,0.282182438192668,0
492,1644,42,442,0.294403892944039,1
493,1356,71,326,0.292772861356932,0
494,1206,79,420,0.413764510779436,1
495,1115,228,227,0.408071748878924,1
496,1935,130,758,0.458914728682171,1
497,1122,51,273,0.288770053475936,0
498,1413,23,400,0.299363057324841,1
499,1882,29,633,0.351753453772582,1
500,1063,115,390,0.475070555032926,1
501,894,75,289,0.407158836689038,0
502,1020,202,232,0.425490196078431,1
503,1686,101,653,0.447212336892052,0
504,2097,62,719,0.3724368144969,1
505,1320,104,381,0.367424242424242,1
506,2354,122,1000,0.476635514018692,1
507,836,19,287,0.366028708133971,1
508,1825,47,799,0.463561643835616,1
509,1495,31,497,0.353177257525084,1
510,1252,29,322,0.280351437699681,1
511,1013,114,308,0.416584402764067,1
512,1878,74,581,0.34877529286475,1
513,2219,41,618,0.296980621901758,1
514,1009,9,306,0.31219028741328,1
515,1767,75,574,0.367289190718732,1
516,1407,131,387,0.368159203980099,1
517,960,17,261,0.289583333333333,1
518,2097,36,604,0.305197901764425,1
519,1825,100,659,0.415890410958904,1
520,1334,115,496,0.458020989505247,1
521,2250,104,807,0.404888888888889,1
522,1074,68,276,0.320297951582868,0
523,1051,88,344,0.411037107516651,0
524,238,108,91,0.836134453781513,0
525,149,0,149,1,0
526,2550,239,721,0.376470588235294,1
527,297,57,47,0.35016835016835,0
528,2367,147,628,0.327418673426278,0
529,273,24,90,0.417582417582418,0
530,488,18,157,0.358606557377049,0
531,637,35,183,0.342229199372057,0
532,1278,89,382,0.368544600938967,1
533,500,53,148,0.402,0
534,1207,118,379,0.411764705882353,1
535,474,40,148,0.39662447257384,0
536,676,93,202,0.436390532544379,0
537,683,64,237,0.440702781844802,0
538,975,85,347,0.443076923076923,0
539,230,22,102,0.539130434782609,0
540,624,48,201,0.399038461538462,0
541,935,77,356,0.463101604278075,1
542,2121,177,781,0.451673738802452,0
543,756,320,195,0.681216931216931,0
544,1040,110,323,0.416346153846154,0
545,592,126,164,0.489864864864865,0
546,865,71,317,0.448554913294798,0
547,313,53,105,0.504792332268371,0
548,377,43,127,0.450928381962865,0
549,204,72,16,0.431372549019608,0
550,1532,104,401,0.329634464751958,1
3937,384,80,302,0.994791666666667,0
4193,605,12,188,0.330578512396694,0
4194,1092,16,430,0.408424908424908,0
4195,1541,25,477,0.325762491888384,0
4196,1413,34,578,0.43312101910828,0
4197,941,15,327,0.363443145589798,0
4198,1409,76,562,0.452803406671398,1
4199,407,156,55,0.518427518427518,0
4200,374,83,98,0.483957219251337,0
609,1588,3,365,0.231738035264484,1
610,1574,20,293,0.198856416772554,1
611,1497,22,304,0.217768871075484,1
612,1502,24,300,0.215712383488682,1
613,1532,17,283,0.195822454308094,1
614,1159,6,232,0.2053494391717,1
615,1716,8,333,0.198717948717949,1
616,1615,10,394,0.25015479876161,1
617,1670,16,417,0.259281437125749,1
618,1564,17,364,0.243606138107417,1
619,1588,16,429,0.280226700251889,1
620,1578,25,342,0.232572877059569,1
621,1608,18,364,0.237562189054726,1
622,1464,21,265,0.195355191256831,1
623,1607,15,383,0.247666459240821,1
