UIK,voters,voted_mobile,voted_stationary,Turnout,Video
780,151,7,79,0.56953642384106,0
781,580,45,273,0.548275862068966,0
782,48,1,28,0.604166666666667,0
783,136,5,60,0.477941176470588,0
784,533,49,169,0.409005628517824,0
785,1133,31,366,0.350397175639894,1
786,1177,31,393,0.360237892948173,1
787,1574,59,457,0.327827191867853,1
788,1604,29,419,0.27930174563591,0
789,409,7,120,0.310513447432763,0
790,191,7,85,0.481675392670157,0
791,476,27,156,0.384453781512605,0
792,713,29,259,0.403927068723703,0
793,139,9,75,0.60431654676259,0
794,363,19,155,0.479338842975207,1
795,177,4,78,0.463276836158192,0
796,822,126,207,0.405109489051095,0
797,113,17,42,0.52212389380531,0
798,110,8,49,0.518181818181818,0
799,713,46,318,0.510518934081346,0
801,384,32,195,0.591145833333333,0
802,543,28,269,0.546961325966851,0
803,273,16,135,0.553113553113553,0
804,387,28,283,0.803617571059432,0
805,282,16,203,0.776595744680851,0
806,175,16,102,0.674285714285714,0
807,97,4,73,0.793814432989691,0
808,374,46,223,0.719251336898396,0
809,469,29,278,0.654584221748401,0
810,1106,100,383,0.436708860759494,1
811,231,20,103,0.532467532467532,0
812,121,8,74,0.677685950413223,0
813,40,2,38,1,0
814,408,37,188,0.551470588235294,1
815,322,4,245,0.773291925465838,0
816,63,0,43,0.682539682539683,0
817,63,0,52,0.825396825396825,0
818,515,24,298,0.625242718446602,0
819,102,3,58,0.598039215686274,0
820,101,0,65,0.643564356435644,0
821,82,10,57,0.817073170731707,0
822,509,32,235,0.524557956777996,1
823,163,5,98,0.631901840490798,0
824,634,43,330,0.588328075709779,1
825,45,0,31,0.688888888888889,0
826,75,5,58,0.84,0
827,119,12,85,0.815126050420168,0
828,415,73,291,0.87710843373494,0
829,413,31,242,0.661016949152542,0
830,116,7,70,0.663793103448276,0
831,225,14,135,0.662222222222222,0
832,913,13,542,0.607886089813801,0
833,314,60,212,0.866242038216561,0
834,864,154,311,0.538194444444444,1
835,831,57,544,0.723225030084236,0
836,330,5,139,0.436363636363636,0
837,270,10,136,0.540740740740741,0
838,280,0,127,0.453571428571429,0
839,130,6,100,0.815384615384615,0
381,1898,101,556,0.346153846153846,1
382,1830,41,597,0.348633879781421,1
383,1763,29,537,0.321043675553035,1
384,1811,27,653,0.37548315847598,1
385,1957,40,656,0.355646397547266,1
386,1794,39,435,0.264214046822742,1
387,2233,45,688,0.328257948947604,1
388,1613,28,512,0.334779913205208,1
389,1806,23,573,0.330011074197121,1
390,1773,23,577,0.338409475465313,1
391,1823,42,545,0.321996708721887,1
392,1712,31,516,0.319509345794392,1
393,1801,32,517,0.304830649639089,1
394,1692,32,541,0.338652482269504,1
395,1638,83,391,0.289377289377289,1
396,2062,74,553,0.304073714839961,1
397,1812,80,461,0.298565121412804,1
398,1919,68,502,0.297029702970297,1
399,2705,120,749,0.321256931608133,1
400,1024,50,301,0.3427734375,1
841,1569,62,835,0.5717017208413,1
842,224,6,130,0.607142857142857,0
843,967,24,376,0.413650465356774,1
844,173,5,64,0.398843930635838,0
845,88,0,56,0.636363636363636,0
846,138,0,64,0.463768115942029,0
847,574,34,261,0.513937282229965,0
848,82,2,32,0.414634146341463,0
849,243,28,84,0.460905349794239,0
850,100,0,50,0.5,0
851,107,2,37,0.364485981308411,0
852,670,72,257,0.491044776119403,0
853,961,29,326,0.369406867845994,1
854,64,0,39,0.609375,0
855,708,30,256,0.403954802259887,0
856,553,25,235,0.470162748643761,1
857,230,8,103,0.482608695652174,0
858,156,3,86,0.57051282051282,0
859,1121,29,316,0.307760927743087,1
860,2166,61,646,0.326408125577101,1
861,978,41,342,0.39161554192229,1
862,2235,58,716,0.346308724832215,1
863,2065,80,627,0.342372881355932,1
870,1869,135,549,0.365971107544141,1
871,2747,108,976,0.394612304331999,1
872,247,19,56,0.303643724696356,0
873,182,8,80,0.483516483516484,0
874,1005,46,285,0.329353233830846,1
875,1512,43,356,0.263888888888889,1
876,813,27,358,0.473554735547355,1
877,1371,70,609,0.49525893508388,1
878,292,7,90,0.332191780821918,0
879,334,6,92,0.293413173652695,0
880,2466,60,659,0.291565287915653,1
881,1447,61,491,0.381478921907395,1
882,898,43,238,0.312917594654788,1
884,477,36,176,0.444444444444444,0
885,819,47,293,0.415140415140415,0
886,562,40,140,0.320284697508897,0
887,834,24,254,0.333333333333333,0
888,181,28,83,0.613259668508287,0
889,844,25,191,0.255924170616114,0
890,1050,24,329,0.336190476190476,1
891,348,26,57,0.238505747126437,0
892,312,24,104,0.41025641025641,0
893,156,4,82,0.551282051282051,0
894,792,29,299,0.414141414141414,0
895,538,29,155,0.342007434944238,0
896,554,76,167,0.438628158844765,0
897,403,18,145,0.404466501240695,0
898,709,25,245,0.380818053596615,0
899,173,11,33,0.254335260115607,0
900,485,33,172,0.422680412371134,0
901,965,25,338,0.376165803108808,0
902,1154,41,377,0.362218370883882,1
402,1110,31,217,0.223423423423423,0
403,1453,92,292,0.264280798348245,1
404,808,33,133,0.205445544554455,0
405,1516,24,339,0.239445910290237,0
406,1258,17,339,0.282988871224165,1
407,1472,52,447,0.338994565217391,1
408,1381,43,480,0.378711078928313,1
409,1403,49,523,0.407697790449038,1
410,1383,23,340,0.262472885032538,1
411,1587,29,437,0.293635790800252,1
412,1416,37,349,0.272598870056497,1
413,1433,36,350,0.269364968597348,1
414,750,3,295,0.397333333333333,0
415,1534,37,557,0.38722294654498,1
416,1381,46,385,0.312092686459088,1
417,1345,33,359,0.291449814126394,1
418,1618,15,345,0.222496909765142,0
